id	file	left	target	right
cold/j/fic_1997_29486/3971	fic_1997_29486	, radios knocked silent , folks in the adjoining buildings stretched out flat along the	cold	floors , desperate not to stir . Caught up , the pointed scent of gunpowder
cold/j/nf_1962_774117/28584	nf_1962_774117	always established by position . In these languages , the structures III ? I (	cold	winters ) and d ' ? III ? I ( the big house ) are
cold/j/nf_1954_774290/3732	nf_1954_774290	employed with it to preheat the metallic-oxide burner , which would not conduct electricity when	cold	. In spite of improvements made by others to whom Nernst assigned patent rights ,
cold/j/mag_1944_258277/90	mag_1944_258277	an altar . But the praying pilot ; the nurse who lifted the cup of	cold	water to my burning lips ; the mail truck driver with a chest cough that
cold/j/mag_1993_409278/768	mag_1993_409278	. Crayfish may be found in nearly every freshwater habitat in North America , from	cold	northern lakes to warm southern swamps , from water-saturated fields to fast-flowing streams . But
cold/j/fic_1971_14051/3325	fic_1971_14051	", "" he said , "" is great long lines of marching men , ice"	cold	nights , bleak Asian skies , and the hard , lonely duty of serving your
cold/j/nf_1833_747531/2654	nf_1833_747531	the Kussians . This people are distiuguished by a robust constitution capable of resisting the	cold	and rigour of their climate . The purity of the air , their simple way
cold/j/fic_1908_5081/18737	fic_1908_5081	"'s orders , ma'am , "" said Bridget . "" ' T is for me"	cold	". "" She coughed as well as she could , but it was not a"
cold/j/fic_2006_51371/5127	fic_2006_51371	She looked at him . Her tears had dried , leaving shiny streaks , and	cold	"resignation had chased the pain from her eyes . "" Should I remind you ?"
cold/j/fic_1946_23497/1150	fic_1946_23497	righteous anger proceeded to spank her quickly , before being forced to administer justice in	cold	blood . Familiar howls and shrieks rang through the apartment , but then something happened
cold/j/mag_1960_491669/6389	mag_1960_491669	a loser under Blanc 's regime , his little joke would have left me very	cold	. I had also learned that the automobiles from the palace garage carry license plates
cold/j/fic_1849_583/8823	fic_1849_583	to dross around us , these only retain their steady value . When friends grow	cold	, and the converse of intimates languishes into vapid @ @ @ @ @ @
cold/j/fic_1999_13981/6	fic_1999_13981	@@13981 ( A blast of	cold	wind , sounds of winter , wind howling , maybe snow on a scrim .
cold/j/fic_1909_2111/8458	fic_1909_2111	"and  --  "" . He looked across the street to the monument that stood a"	cold	, lifeless mask in a world of living joy and beauty ; from the monument
cold/j/mag_1923_253653/96	mag_1923_253653	""" Everything to my wife . "" <P> In tropical Honolulu five Japanese died from"	cold	and exposure . They were climbing Mt . Haleakala , extinct volcano , when a
cold/j/mag_1957_186582/209	mag_1957_186582	@ @ @ @ @ @ artificial skulls , how to tint and warm the	cold	wax . When she was 19 , Uncle Philip wangled her into the bedchambers of
