	file	left	right	target	id	type
125	mag_1977_288160	a scaled-down Formula 1 speedster . Le petit Grand Prix is already one of the	pastimes in California , the nation 's begetter of vogues , and is spreading east	hottest	hot/j/mag_1977_288160/160	hot/j
126	mag_1942_491962	he joined Hearst , there was something approaching affection in his voice , and his	blue eyes would show a trace of warmth . @ @ @ @ @ @	cold	cold/j/mag_1942_491962/1185	cold/j
127	mag_1855_556100	the eye in , and obliges us to feel the quality of an atmosphere ,	, transparent , alive , infinite , the tremulous movement of the vapory air ,	warm	warm/j/mag_1855_556100/8162	warm/j
128	fic_2008_36166	was the first day of summer , but I stepped outside into an unseasonable Alaskan	front , which had roared out of the north , blasting Los Angeles . A	cold	cold/j/fic_2008_36166/2258	cold/j
129	mag_2005_419657	the window of the Hit It Here Cafe in right field . Giambi has run	and cold all season-14 of his 26 homers have come in just seven games-but considering	hot	hot/j/mag_2005_419657/764	hot/j
130	mag_2005_419657	of the Hit It Here Cafe in right field . Giambi has run hot and	all season-14 of his 26 homers have come in just seven games-but considering the Yankees	cold	cold/j/mag_2005_419657/766	cold/j
131	fic_2005_50021	"oblivious , still completely absorbed in whatever she was reading . <p> "" Is it"	"back there ? "" Ian asked . "" I can turn the air on if"	warm	warm/j/fic_2005_50021/1885	warm/j
132	fic_2005_50021	, Julia lay on the sofa in her underwear and a tank top , drinking	milk with Hershey 's syrup and watching TV reruns from before she was born .	cold	cold/j/fic_2005_50021/2875	cold/j
133	mag_1992_346438	feature films and music videos . Lately , though , they ca n't keep a	political video in stock . It seems that government-controlled Thai TV did not carry footage	hot	hot/j/mag_1992_346438/35	hot/j
134	mag_1945_475407	one to intrude on the other . We want a machine that will keep us	in winter and cool in summer . We want machines @ @ @ @ @	warm	warm/j/mag_1945_475407/179	warm/j
135	mag_1945_475407	are also depriving us , incidentally , of a place to dry vegetables under a	roof , and of a place to store root crops and jellies in the damp	hot	hot/j/mag_1945_475407/2253	hot/j
136	news_2006_618153	learn @ @ @ @ @ @ @ @ @ @ surprised him . During	summer months , dissolved oxygen in the estuary he sampled dropped to levels nearly lethal	hot	hot/j/news_2006_618153/1209	hot/j
137	news_1991_619072	attitude ? I think not . <p> BOB BRACKETT <p> San Francisco <p> LONG ,	WINTER <p> Editor  --  The Bush recession continues to get worse . We now @	COLD	cold/j/news_1991_619072/376	cold/j
138	news_1991_619072	@ @ @ appointments to his friends and supporters as if he were passing out	dogs at a political rally . Did n't he get it ? What is it	hot	hot/j/news_1991_619072/1418	hot/j
139	news_1922_687356	doctor tells me he ought to bo out of doors every day . Hehas no	Clothing , so if any one among your readers has clothing for a boy '	warm	warm/j/news_1922_687356/127	warm/j
140	news_1922_687356	"may yet be again through the inezumentality of these records . "" FROM AN It.t.mots"	". "" I am hastening to publish this , hop . ing the Illinois boy"	HOT	hot/j/news_1922_687356/291	hot/j
141	mag_1950_190879	that @ @ @ @ @ @ @ @ @ @ this phase of the	war , the detective section of the Tokyo Metropolitan Police Bureau last week issued a	cold	cold/j/mag_1950_190879/204	cold/j
142	mag_1981_293533	. decked out with steer horns , long bars , and waitresses in Stetsons and	jeans , they have struck a bonanza . <P> They also strike close to the	hot	hot/j/mag_1981_293533/169	hot/j
143	fic_1862_3740	"my father ! "" LIZZIE . Mother , what ails our Lizzie dear , So"	and still she lies ? She does not speak a word to-day , And closed	cold	cold/j/fic_1862_3740/6247	cold/j
144	mag_1936_141242	those a too-streamlined conception of canvasback , but the black &; white pages are made	by the artist 's pencilled notes , ' ' Yellow Legs , Fire Island-The Good	warm	warm/j/mag_1936_141242/149	warm/j
145	mag_1997_398569	above , and surrounding , the steering and control console . When the morning 's	front had passed and the skies had cleared , we headed out Fort Lauderdale 's	cold	cold/j/mag_1997_398569/1144	cold/j
146	fic_1959_16355	be like old times . I know it ! Messala embraces Ben Hur . A	moment ; then : &nbsp; MESSALATell me . . . Did you . . .	warm	warm/j/fic_1959_16355/7057	warm/j
147	fic_1959_16355	said it ) It died with my wife and son . ( He is immediately	and remote again ) Go back to your oar , Forty-One . Ben Hur turns	cold	cold/j/fic_1959_16355/19776	cold/j
148	mag_1832_554146	, very little apprehension for the result of this scrutiny ; for the indications of	approbation and cordial support have been so numerous and unequivocal , as to leave little	warm	warm/j/mag_1832_554146/338	warm/j
149	mag_1982_298031	the kind of well-made but not very venturesome adventure picture that almost four decades of	war have made all too familiar . The second , however , is airborne ,	cold	cold/j/mag_1982_298031/42	cold/j
150	mag_1982_298031	that go whoosh in the night . <P> Eastwood plays Mitchell Gant , a sometime	pilot in Nam , still plagued by bad dreams and occasionally immobilized by horrific memories	hot	hot/j/mag_1982_298031/114	hot/j
151	mag_2004_411055	in which it occurs . Such an explosion transforms a star into a shell of	gas that initially expands at speeds of 6,000 miles ( 10,000 kilometers ) per second	hot	hot/j/mag_2004_411055/220	hot/j
152	news_1995_614413	"flexor and extensor muscles ) , to a two-page map enumerating "" His Highness '"	"Spots "" in the Sun-Times . <p> But the only place to be on this"	Hot	hot/j/news_1995_614413/2035	hot/j
153	news_1966_725677	a forked tail of flame behind its Titan 2 rocket . As it went through	air a great cumulus cloud of condensation vapor rolled off . Then it was gone	colder	cold/j/news_1966_725677/840	cold/j
154	fic_1997_29486	, radios knocked silent , folks in the adjoining buildings stretched out flat along the	floors , desperate not to stir . Caught up , the pointed scent of gunpowder	cold	cold/j/fic_1997_29486/3971	cold/j
155	nf_1962_774117	"presumably meaning "" a piece of the previously mentioned food in a roll and served"	". "" Hence we now encounter beefburgers , cheeseburgers , steakburgers , pizzaburgers , burger"	hot	hot/j/nf_1962_774117/24138	hot/j
156	nf_1962_774117	always established by position . In these languages , the structures III ? I (	winters ) and d ' ? III ? I ( the big house ) are	cold	cold/j/nf_1962_774117/28584	cold/j
